Position,Level,Productivity,Salary
Software Engineer,Senior,10,120003
Software Engineer,Senior,4,162457
Software Engineer,Senior,9,125002
Software Engineer,Senior,6,167322
Software Engineer,Senior,3,131603
Software Engineer,Senior,9,134496
Software Engineer,Senior,6,170135
Software Engineer,Senior,3,135882
Software Engineer,Senior,3,121800
Software Engineer,Senior,2,138423
Software Engineer,Senior,3,158189
Software Engineer,Senior,9,169152
Software Engineer,Senior,1,175637
Software Engineer,Senior,10,133136
Software Engineer,Senior,2,175774
Software Engineer,Senior,9,162119
Software Engineer,Senior,5,168353
Software Engineer,Senior,3,121107
Software Engineer,Senior,9,123636
Software Engineer,Senior,3,125700
Software Engineer,Senior,8,161238
Software Engineer,Senior,6,162416
Software Engineer,Senior,8,128405
Software Engineer,Senior,9,167321
Software Engineer,Senior,4,170802
Software Engineer,Senior,3,133267
Software Engineer,Senior,7,120568
Software Engineer,Senior,10,174228
Software Engineer,Senior,3,168786
Software Engineer,Senior,7,147711
Software Engineer,Senior,4,176827
Data Analyst,Junior,7,57088
Data Analyst,Junior,4,57301
Data Analyst,Junior,7,69195
Data Analyst,Junior,10,69292
Data Analyst,Junior,9,68144
Data Analyst,Junior,1,70768
Data Analyst,Junior,7,73298
Data Analyst,Junior,4,67294
Data Analyst,Junior,6,66299
Data Analyst,Junior,7,63608
Data Analyst,Junior,4,64615
Data Analyst,Junior,1,55822
Data Analyst,Junior,7,59395
Data Analyst,Junior,8,59113
Data Analyst,Junior,3,55690
Data Analyst,Junior,3,63281
Data Analyst,Junior,7,59963
Data Analyst,Junior,6,58764
Data Analyst,Junior,2,67923
Data Analyst,Junior,10,68003
Data Analyst,Junior,6,64030
Data Analyst,Junior,2,70685
Data Analyst,Junior,1,57439
Data Analyst,Junior,3,74761
Data Analyst,Junior,3,73818
Data Analyst,Junior,1,69194
Data Analyst,Junior,7,63769
Data Analyst,Junior,1,61811
Data Analyst,Junior,1,60978
Data Analyst,Junior,10,67831
Data Analyst,Junior,6,60747
Data Analyst,Junior,6,69630
Data Analyst,Junior,6,60327
Data Analyst,Junior,3,60748
Data Analyst,Junior,4,57350
Data Analyst,Junior,8,62527
Data Analyst,Junior,1,66126
Data Analyst,Junior,10,62623
Data Analyst,Junior,10,64740
Data Analyst,Junior,8,72697
Data Analyst,Junior,2,59681
Data Analyst,Junior,4,58922
Data Analyst,Junior,2,56077
Data Analyst,Junior,5,65881
Data Analyst,Junior,9,59517
Data Analyst,Junior,9,67436
Data Analyst,Junior,8,67801
Data Analyst,Junior,2,62226
Data Analyst,Junior,8,61695
Data Analyst,Junior,8,71104
Data Analyst,Mid-level,1,90185
Data Analyst,Mid-level,2,82178
Data Analyst,Mid-level,1,75121
Data Analyst,Mid-level,2,98570
Data Analyst,Mid-level,9,83416
Data Analyst,Mid-level,1,84889
Data Analyst,Mid-level,6,91502
Data Analyst,Mid-level,7,99659
Data Analyst,Mid-level,4,87006
Data Analyst,Mid-level,1,77787
Data Analyst,Mid-level,3,98703
Data Analyst,Mid-level,9,83204
Data Analyst,Mid-level,7,89985
Data Analyst,Mid-level,5,81572
Data Analyst,Mid-level,8,90666
Data Analyst,Mid-level,10,93856
Data Analyst,Mid-level,10,98384
Data Analyst,Mid-level,8,90172
Data Analyst,Mid-level,3,80101
Data Analyst,Mid-level,1,97078
Data Analyst,Mid-level,3,81962
Data Analyst,Mid-level,5,80802
Data Analyst,Mid-level,2,94039
Data Analyst,Mid-level,4,82114
Data Analyst,Mid-level,1,90917
Data Analyst,Mid-level,7,80518
Data Analyst,Mid-level,10,92364
Data Analyst,Mid-level,8,94351
Data Analyst,Mid-level,2,81386
Data Analyst,Mid-level,6,79601
Data Analyst,Mid-level,2,93877
Data Analyst,Mid-level,3,86365
Data Analyst,Mid-level,5,99221
Data Analyst,Mid-level,1,91746
Data Analyst,Mid-level,6,94782
Data Analyst,Mid-level,8,77796
Data Analyst,Mid-level,10,92746
Data Analyst,Mid-level,1,89103
Data Analyst,Mid-level,5,75940
Data Analyst,Mid-level,1,85472
Data Analyst,Mid-level,2,76697
Data Analyst,Mid-level,1,75725
Data Analyst,Mid-level,2,86299
Data Analyst,Mid-level,10,80392
Data Analyst,Mid-level,4,90233
Data Analyst,Mid-level,9,78733
Data Analyst,Mid-level,6,75257
Data Analyst,Mid-level,2,87352
Data Analyst,Mid-level,8,84712
Data Analyst,Mid-level,7,99145
Data Analyst,Senior,2,123701
Data Analyst,Senior,4,132237
Data Analyst,Senior,8,108046
Data Analyst,Senior,4,119843
Data Analyst,Senior,4,142641
Data Analyst,Senior,4,116134
Data Analyst,Senior,6,143090
Data Analyst,Senior,3,111424
Data Analyst,Senior,6,117231
Data Analyst,Senior,5,133100
Data Analyst,Senior,6,122715
Data Analyst,Senior,10,117017
Data Analyst,Senior,4,111059
Data Analyst,Senior,9,124747
Data Analyst,Senior,10,106860
Data Analyst,Senior,4,122343
Data Analyst,Senior,2,144079
Data Analyst,Senior,9,120646
Data Analyst,Senior,3,105715
Data Analyst,Senior,2,100511
Data Analyst,Senior,7,113623
Data Analyst,Senior,2,123710
Data Analyst,Senior,5,105585
Data Analyst,Senior,8,112997
Data Analyst,Senior,9,125262
Data Analyst,Senior,3,107125
Data Analyst,Senior,10,133026
Data Analyst,Senior,10,148094
Data Analyst,Senior,5,127587
Data Analyst,Senior,1,143310
Data Analyst,Senior,7,109732
Data Analyst,Senior,8,133343
Data Analyst,Senior,5,114099
Data Analyst,Senior,2,128690
Data Analyst,Senior,6,145072
Data Analyst,Senior,10,134895
Data Analyst,Senior,4,122804
Data Analyst,Senior,3,131486
Data Analyst,Senior,2,121252
Data Analyst,Senior,4,105710
Data Analyst,Senior,1,127896
Data Analyst,Senior,4,137567
Data Analyst,Senior,4,116517
Data Analyst,Senior,9,100758
Data Analyst,Senior,6,119569
Data Analyst,Senior,7,145566
Data Analyst,Senior,4,147990
Data Analyst,Senior,5,115561
Data Analyst,Senior,7,144560
Data Analyst,Senior,1,133602
Project Manager,Junior,2,69947
Project Manager,Junior,2,80812
Project Manager,Junior,1,75700
Project Manager,Junior,9,69595
Project Manager,Junior,3,77424
Project Manager,Junior,6,79487
Project Manager,Junior,2,77056
Project Manager,Junior,7,66507
Project Manager,Junior,2,82762
Project Manager,Junior,10,75808
Project Manager,Junior,5,70361
Project Manager,Junior,3,78029
Project Manager,Junior,4,70796
Project Manager,Junior,4,74259
Project Manager,Junior,10,76700
Project Manager,Junior,5,69629
Project Manager,Junior,9,82528
Project Manager,Junior,4,77598
Project Manager,Junior,3,70210
Project Manager,Junior,8,76789
Project Manager,Junior,8,67591
Project Manager,Junior,9,66910
Project Manager,Junior,6,79428
Project Manager,Junior,8,76703
Project Manager,Junior,2,76494
Project Manager,Junior,9,77036
Project Manager,Junior,7,79434
Project Manager,Junior,2,72558
Project Manager,Junior,2,76583
Project Manager,Junior,9,68935
Project Manager,Junior,8,76399
Project Manager,Junior,5,76827
Project Manager,Junior,4,76674
Project Manager,Junior,7,69226
Project Manager,Junior,1,84694
Project Manager,Junior,1,65517
Project Manager,Junior,2,71207
Project Manager,Junior,1,80349
Project Manager,Junior,4,83941
Project Manager,Junior,3,73437
Project Manager,Junior,5,65350
Project Manager,Junior,8,81162
Project Manager,Junior,10,66235
Project Manager,Junior,7,76893
Project Manager,Junior,10,83752
Project Manager,Junior,8,79703
Project Manager,Junior,7,80222
Project Manager,Junior,7,84194
Project Manager,Junior,8,83851
Project Manager,Junior,2,71603
Project Manager,Mid-level,1,97893
Project Manager,Mid-level,4,97545
Project Manager,Mid-level,7,91829
Project Manager,Mid-level,4,102644
Project Manager,Mid-level,5,91674
Project Manager,Mid-level,9,102241
Project Manager,Mid-level,3,97920
Project Manager,Mid-level,10,104324
Project Manager,Mid-level,8,100931
Project Manager,Mid-level,10,86362
Project Manager,Mid-level,5,102327
Project Manager,Mid-level,9,104685
Project Manager,Mid-level,9,87836
Project Manager,Mid-level,2,93524
Project Manager,Mid-level,9,91750
Project Manager,Mid-level,8,87725
Project Manager,Mid-level,1,85965
Project Manager,Mid-level,2,100568
Project Manager,Mid-level,3,89104
Project Manager,Mid-level,9,95643
Project Manager,Mid-level,7,101134
Project Manager,Mid-level,9,88991
Project Manager,Mid-level,2,94979
Project Manager,Mid-level,2,99304
Project Manager,Mid-level,10,96995
Project Manager,Mid-level,1,97545
Project Manager,Mid-level,9,100707
Project Manager,Mid-level,1,99366
Project Manager,Mid-level,6,104771
Project Manager,Mid-level,3,90750
Project Manager,Mid-level,9,102812
Project Manager,Mid-level,5,93220
Project Manager,Mid-level,3,95951
Project Manager,Mid-level,5,92387
Project Manager,Mid-level,10,102887
Project Manager,Mid-level,9,103546
Project Manager,Mid-level,7,90589
Project Manager,Mid-level,1,92600
Project Manager,Mid-level,4,100046
Project Manager,Mid-level,1,103682
Project Manager,Mid-level,9,103868
Project Manager,Mid-level,2,99100
Project Manager,Mid-level,4,88469
Project Manager,Mid-level,6,95570
Project Manager,Mid-level,8,99124
Project Manager,Mid-level,10,91787
Project Manager,Mid-level,5,96289
Project Manager,Mid-level,10,85377
Project Manager,Mid-level,4,96066
Project Manager,Mid-level,8,104110
Project Manager,Senior,10,146850
Project Manager,Senior,6,109982
Project Manager,Senior,9,109184
Project Manager,Senior,3,118282
Project Manager,Senior,10,128356
Project Manager,Senior,2,115981
Project Manager,Senior,9,110047
Project Manager,Senior,6,142777
Project Manager,Senior,9,133758
Project Manager,Senior,5,114309
Project Manager,Senior,1,152974
Project Manager,Senior,2,149431
Project Manager,Senior,9,118994
Project Manager,Senior,10,151398
Project Manager,Senior,3,151961
Project Manager,Senior,8,123004
Project Manager,Senior,6,143811
Project Manager,Senior,6,124324
Project Manager,Senior,1,106520
Project Manager,Senior,2,122228
Project Manager,Senior,3,151514
Project Manager,Senior,4,149289
Project Manager,Senior,5,116845
Project Manager,Senior,2,108480
Project Manager,Senior,1,121220
Project Manager,Senior,4,127406
Project Manager,Senior,5,143283
Project Manager,Senior,3,127403
Project Manager,Senior,5,140862
Project Manager,Senior,4,142751
Project Manager,Senior,4,108493
Project Manager,Senior,8,115476
Project Manager,Senior,8,145673
Project Manager,Senior,2,134847
Project Manager,Senior,9,124705
Project Manager,Senior,1,134788
Project Manager,Senior,8,131439
Project Manager,Senior,6,105217
Project Manager,Senior,6,106269
Project Manager,Senior,10,147482
Project Manager,Senior,9,147613
Project Manager,Senior,6,154449
Project Manager,Senior,4,116249
Project Manager,Senior,7,108667
Project Manager,Senior,3,138338
Project Manager,Senior,10,137850
Project Manager,Senior,3,120180
Project Manager,Senior,1,115613
Project Manager,Senior,4,140948
Project Manager,Senior,7,120302
